#--------------------------------------------------------------------------------
# Auto-generated by Migen (--------) & LiteX (b84a858b) on 2020-10-19 12:35:02
#--------------------------------------------------------------------------------
csr_base,ctrl,0x00000000,,
csr_base,pulsegen,0x00000800,,
csr_register,ctrl_reset,0x00000000,1,rw
csr_register,ctrl_scratch,0x00000004,4,rw
csr_register,ctrl_bus_errors,0x00000014,4,ro
csr_register,pulsegen_go,0x00000800,1,rw
constant,config_clock_frequency,15000000,,
constant,config_cpu_type_none,None,,
constant,config_cpu_variant_standard,None,,
constant,config_cpu_human_name,unknown,,
constant,config_csr_data_width,8,,
constant,config_csr_alignment,32,,
constant,config_bus_standard,wishbone,,
constant,config_bus_data_width,32,,
constant,config_bus_address_width,32,,
memory_region,csr,0x00000000,65536,io
